random_seed,requested_duration_s,campaign,boundary_label,altitude_gain_scale,protection_low_m_s,dive_slope,physical_mass_scale,actual_thrust_scale,failure_mode,time_to_failure_s,maximum_abs_roll_deg,maximum_abs_pitch_deg,maximum_abs_angle_of_attack_deg,stall_fraction,aileron_saturation_fraction,elevator_saturation_fraction,throttle_saturation_fraction,cruise_velocity_m_s,trial,completed_duration_s,waypoints_completed,laps_completed,success,cross_track_rmse_m,altitude_rmse_m,airspeed_rmse_m_s,mean_airspeed_m_s,minimum_altitude_m,mean_throttle,mass_kg,cla,cd0,thrust_max_n,initial_speed_m_s,initial_heading_rad
7,60.0,altitude_feedback,gain 0.1×,0.1,2.6,0.06,1.0,1.0,none,,36.70629170591934,7.504414415433588,7.3256626379995105,0.0,0.49182115594329334,0.0,0.0,4.0,0,60.0,15,3.75,1,2.994950994172586,0.649072757679709,0.9436714733808859,4.789451749313275,1.8794166255226512,0.3340549750153021,0.065,4.7,0.06,0.3,4.0,1.4288992721907328
7,60.0,altitude_feedback,gain 0.1×,0.1,2.6,0.06,1.0,1.0,none,,37.123325737408656,7.553620349510622,7.457551312100708,0.0,0.48964013086150493,0.0,0.0,4.0,1,60.0,15,3.75,0,3.0609270873345573,0.6313285185944839,1.0191537643324187,4.867853930185484,1.8891127543734227,0.2939097451634716,0.06577673839752203,4.570952355386659,0.0551469765634464,0.33000624819513635,3.9705706040793256,1.4182988268893335
7,60.0,altitude_feedback,gain 0.1×,0.1,2.6,0.06,1.0,1.0,none,,37.134950417992904,7.29909463877137,7.227846368414804,0.0,0.4870956015994184,0.0,0.0,4.0,2,60.0,15,3.75,0,3.076873033325252,0.6722834307019299,1.025604227018819,4.896146277999363,1.8648766846876372,0.33573840527145016,0.06428724157605824,4.1638551873761624,0.06636539174031647,0.3114338956812706,4.134814580815061,1.44120695245206
7,60.0,altitude_feedback,gain 0.1×,0.1,2.6,0.06,1.0,1.0,none,,36.70641878535336,6.813210939795481,7.378122705267151,0.0,0.4914576517629953,0.0,0.0,4.0,3,60.0,15,3.75,1,2.9872611873575527,0.6442753892930232,0.9333217345518655,4.783964716186828,1.8924094815421943,0.32818038962254714,0.06268446121923109,4.336350357380637,0.05515479194800862,0.2820106664684216,4.17178330111812,1.4246835883790174
7,60.0,altitude_feedback,gain 0.1×,0.1,2.6,0.06,1.0,1.0,none,,37.05578746933829,8.561194711432519,7.314864424288325,0.0,0.48782260996001453,0.0,0.0,4.0,4,60.0,15,3.75,0,3.0596673541380426,0.6482454347216781,1.0105440875404867,4.874787703486144,1.8816955401730702,0.3260720515987411,0.06381785595855352,4.180630719342732,0.059804869770326875,0.30111774343157194,3.8014708311273617,1.422012753510219
7,60.0,altitude_feedback,gain 0.1×,0.1,2.6,0.06,1.0,1.0,none,,36.269383374096485,7.609301544505733,7.322849951313309,0.0,0.4914576517629953,0.0,0.0,4.0,5,60.0,15,3.75,1,2.9070653068845935,0.6105386232408287,0.850704647001179,4.692289155313452,1.924342813723831,0.32280242856261376,0.0624217189570092,4.63370430103694,0.06530633920429904,0.3086503437550528,3.8808036451019428,1.390010992718187
7,60.0,altitude_feedback,gain 0.1×,0.1,2.6,0.06,1.0,1.0,none,,37.15524803390619,7.408339424989704,7.337365250034849,0.0,0.48745910577971646,0.0,0.0,4.0,6,60.0,15,3.75,0,3.067632316867122,0.6602353654291383,1.0285402554353005,4.8891753885068345,1.8681521094725824,0.3288912947050308,0.06515637336675334,4.342580092232875,0.056498397403540186,0.2971682681197388,4.097035513386014,1.428497097086861
7,60.0,altitude_feedback,gain 0.1×,0.1,2.6,0.06,1.0,1.0,none,,37.22182746103501,9.151573774993176,7.284198280621884,0.0,0.48745910577971646,0.0,0.0,4.0,7,60.0,15,3.75,0,3.080393358591419,0.6631483057343802,1.0557714343576887,4.912063182148257,1.8481893200751975,0.3405213672887495,0.06848455963844179,4.77649654918772,0.05932978830249504,0.3102436540079281,3.701137032373826,1.4134153665088793
7,60.0,altitude_feedback,gain 0.1×,0.1,2.6,0.06,1.0,1.0,none,,36.425005024414254,7.55777524346811,7.348762216692448,0.0,0.4910941475826972,0.0,0.0,4.0,8,60.0,15,3.75,1,2.9296783482337423,0.6220337978471842,0.880524900505299,4.720139895424558,1.906215546464403,0.32911593338976647,0.06372026305176655,4.744203806428032,0.06066278485949688,0.2990022401977588,3.930524520257145,1.4696048105776907
7,60.0,altitude_feedback,gain 0.1×,0.1,2.6,0.06,1.0,1.0,none,,36.50254034100147,7.2653849906516355,7.3826581932975985,0.0,0.49073064340239914,0.0,0.0,4.0,9,60.0,15,3.75,1,2.9493863729617393,0.6166314097995048,0.8948921320151254,4.735391094616761,1.91263574732707,0.3143269786038376,0.06338676526046816,4.647285473614353,0.060382690645530375,0.31000871341251496,3.9854069611494864,1.4516963615488432
7,60.0,altitude_feedback,gain 0.1×,0.1,2.6,0.06,1.0,1.0,none,,37.78741052033664,7.294296187796158,7.413959570687321,0.0,0.47691748455107236,0.0,0.0,4.0,10,60.0,15,3.75,0,3.0711173927368622,0.6433416428148371,1.1501629484769853,5.021017387043957,1.8594271926491455,0.2972263440501927,0.06627358933048151,3.9902737615486155,0.052649665041493834,0.32157783887484226,4.188552246593023,1.4280565011100315
7,60.0,altitude_feedback,gain 0.1×,0.1,2.6,0.06,1.0,1.0,none,,37.01404576707569,7.453656208492837,7.2600049113803236,0.0,0.48891312250090874,0.0,0.0,4.0,11,60.0,15,3.75,0,3.0512916762261297,0.6836093231043444,1.006157096761401,4.864277887330024,1.8492597160241582,0.3538247642726755,0.06592790622121616,4.548088603371248,0.06045684138226205,0.2898650662349152,4.103410585085613,1.4522301712184607
