random_seed,requested_duration_s,fault,fault_activation_time_s,initial_altitude_m,altitude_at_activation_m,airspeed_at_activation_m_s,roll_at_activation_deg,pitch_at_activation_deg,waypoint_at_activation,failure_mode,time_to_failure_s,time_from_fault_to_failure_s,maximum_abs_roll_deg,maximum_abs_pitch_deg,maximum_abs_angle_of_attack_deg,stall_fraction,aileron_saturation_fraction,elevator_saturation_fraction,throttle_saturation_fraction,cruise_velocity_m_s,trial,completed_duration_s,waypoints_completed,laps_completed,success,cross_track_rmse_m,altitude_rmse_m,airspeed_rmse_m_s,mean_airspeed_m_s,minimum_altitude_m,mean_throttle,mass_kg,cla,cd0,thrust_max_n,initial_speed_m_s,initial_heading_rad
7,60.0,disabled_altitude_feedback,20.0,20.0,10.803313667785432,3.9199493190878942,-1.4491621516649749,2.809625298733973,1,none,,,35.914356599778294,8.019044358102127,8.96771699689583,0.0,0.4743729552889858,0.0,0.0,4.0,12,60.0,15,3.75,1,2.9271551937435287,7.487232273790996,0.7207794645281606,4.563983619333481,6.381810657137746,0.24917918495587038,0.06527407704739453,4.6863227333968975,0.06815294053044922,0.3030470791558441,3.95091798696667,1.4170355867813895
7,60.0,disabled_altitude_feedback,20.0,20.0,11.349847103762874,3.8904983074405046,0.06303952286318529,2.459077535103001,1,none,,,35.67190925516142,7.396207838267969,8.926618205235542,0.0,0.4681933842239186,0.0,0.0,4.0,13,60.0,14,3.5,1,2.875168258093852,8.054416624813856,0.6702327052169119,4.487859521309942,7.333098290536383,0.20874691043886115,0.06258078308375867,4.731953134052932,0.0507171319312291,0.29305038635192376,3.9447136158850062,1.4656254103938693
7,60.0,disabled_altitude_feedback,20.0,20.0,10.618895840184212,3.9287873009845073,-3.832696240211112,4.5405660426583765,1,none,,,36.33201420868034,8.234543737983103,9.147933992800304,0.0,0.48527808069792805,0.0,0.0,4.0,14,60.0,15,3.75,1,2.9509660984166888,7.297078423554179,0.7999264662110311,4.661525136043121,5.792593238906732,0.24032885822422828,0.06492394526159549,4.2685017141274795,0.06515629612812958,0.30190902616838744,3.9624706899223114,1.4287107919669706
7,60.0,disabled_altitude_feedback,20.0,20.0,10.639722849691466,3.9114167884982054,-3.5011227823427613,4.16849131322383,1,none,,,36.30067958436759,7.328295615723896,9.146892402075453,0.0,0.48491457651763,0.0,0.0,4.0,15,60.0,15,3.75,1,2.9462414259299505,7.249420240575261,0.7961858479249512,4.650684151780531,5.671080495454398,0.2527312702263718,0.06680778830559155,4.5652735761584315,0.060716124154179485,0.2821920820822479,4.228529410068424,1.4492631579477007
7,60.0,disabled_altitude_feedback,30.0,20.0,5.655406067782678,3.8261102754673475,-5.3119732153028165,4.6437917585369455,3,none,,,35.90316305313058,7.675079625047054,9.147888987919716,0.0,0.4674663758633224,0.0,0.0,4.0,0,60.0,14,3.5,1,2.9104390224888026,6.740990356986507,0.6487406990426773,4.479239311298667,1.7787117932486927,0.1880891646644601,0.065,4.7,0.06,0.3,4.0,1.4288992721907328
7,60.0,disabled_altitude_feedback,30.0,20.0,5.397747502528549,3.952996768006935,-7.0057453621679215,6.596214712664318,3,none,,,36.335741275630795,7.717772205428045,9.266891137300615,0.0,0.4772809887313704,0.0,0.0,4.0,1,60.0,14,3.5,1,2.951442635958105,6.746151528248148,0.7084412652129451,4.546869709056593,1.6853260630999198,0.16173869999882662,0.06577673839752203,4.570952355386659,0.0551469765634464,0.33000624819513635,3.9705706040793256,1.4182988268893335
7,60.0,disabled_altitude_feedback,30.0,20.0,4.929037858995793,4.017480133099183,-7.170496877351155,6.309719469671948,3,none,,,36.32564968395893,7.469529676144167,9.202207879195434,0.0,0.47619047619047616,0.0,0.0,4.0,2,60.0,14,3.5,1,2.9681845362769357,6.598556570885445,0.7156317905896953,4.576527664199245,0.9772948062806106,0.18891484248142282,0.06428724157605824,4.1638551873761624,0.06636539174031647,0.3114338956812706,4.134814580815061,1.44120695245206
7,60.0,disabled_altitude_feedback,30.0,20.0,5.624655118544443,3.8465481800108643,-5.577911525717082,4.972639495971184,3,none,,,35.86904822585821,6.9788885506458485,9.162166114815554,0.0,0.46710287168302433,0.0,0.0,4.0,3,60.0,14,3.5,1,2.9070873442435787,6.766065618607854,0.6441038845822354,4.4835241150877065,1.6957091449896657,0.17786669789038206,0.06268446121923109,4.336350357380637,0.05515479194800862,0.2820106664684216,4.17178330111812,1.4246835883790174
7,60.0,disabled_altitude_feedback,30.0,20.0,5.1556219265100625,4.000142428435995,-7.075643201920059,6.415008205183393,3,none,,,36.25659827593112,8.732269848775735,9.219712515240634,0.0,0.47509996364958196,0.0,0.0,4.0,4,60.0,14,3.5,1,2.9555691849298706,6.677387957880714,0.7041168952385257,4.5600550283216945,1.215856314522881,0.17912189424398164,0.06381785595855352,4.180630719342732,0.059804869770326875,0.30111774343157194,3.8014708311273617,1.422012753510219
7,60.0,disabled_altitude_feedback,30.0,20.0,6.023798183102169,3.829218998303043,-3.7557257785416445,3.024494249148831,3,none,,,35.580638668306456,7.784543976425052,9.054515574686494,0.0,0.4598327880770629,0.0,0.0,4.0,5,60.0,14,3.5,1,2.8904498911617074,6.842686066835337,0.5977727226205598,4.418304742838239,2.3896427027379485,0.18895096081923296,0.0624217189570092,4.63370430103694,0.06530633920429904,0.3086503437550528,3.8808036451019428,1.390010992718187
