cruise_velocity_m_s,trial,completed_duration_s,waypoints_completed,laps_completed,success,cross_track_rmse_m,altitude_rmse_m,airspeed_rmse_m_s,mean_airspeed_m_s,minimum_altitude_m,mean_throttle,mass_kg,cla,cd0,thrust_max_n,initial_speed_m_s,initial_heading_rad,random_seed,requested_duration_s,screen_parameter,component,nominal_value,scale,applied_value,failure_mode,time_to_failure_s,maximum_abs_roll_deg,maximum_abs_pitch_deg,maximum_abs_angle_of_attack_deg,stall_fraction,aileron_saturation_fraction,elevator_saturation_fraction,throttle_saturation_fraction
4.0,1,60.0,15,3.75,0,3.075363751121981,0.45875010725453647,1.0074093831405089,4.851269418139715,1.9037658805810322,0.32895814899787296,0.06577673839752203,4.525026078250777,0.057254305433758694,0.29719603583055065,3.87867441408616,1.431125676117762,7,60.0,airframe.alpha_stall,airframe,0.3490658503988659,1.5,0.5235987755982988,none,,38.034053105663595,8.196066086312896,7.284032613395413,0.0,0.4976372228280625,0.0,0.0
4.0,2,60.0,15,3.75,1,2.932727412184501,0.4478668746872544,0.8832739307927273,4.70243472506655,1.920921014637711,0.3371917984987756,0.06428724157605824,4.838135458152227,0.04859266356119493,0.2622486043376923,4.159134793507912,1.386136756807275,7,60.0,airframe.alpha_stall,airframe,0.3490658503988659,1.5,0.5235987755982988,none,,37.58848414516204,6.808541377313722,7.492595326227985,0.0,0.49872773536895676,0.0,0.0
4.0,3,60.0,15,3.75,1,2.898539645565848,0.43647410838606554,0.8486293230028304,4.654975222279881,1.942647655748464,0.30230625868962446,0.06268446121923109,4.800642136301137,0.052262773561290145,0.2919196065623004,3.8788697987002156,1.4315570676173444,7,60.0,airframe.alpha_stall,airframe,0.3490658503988659,1.5,0.5235987755982988,none,,37.61993484232849,7.441019979320282,7.440484037318522,0.0,0.49691021446746636,0.0,0.0
4.0,4,60.0,15,3.75,1,2.9755430933443843,0.4576876882851755,0.9185504388546555,4.729661184197212,1.9104266795023812,0.29215497588965583,0.06381785595855352,4.729726818217408,0.048949589773249605,0.2992724858189839,3.995121744258172,1.4763311575159435,7,60.0,airframe.alpha_stall,airframe,0.3490658503988659,1.5,0.5235987755982988,none,,37.94001399356535,7.125332045743046,7.45217993287256,0.0,0.500181752090149,0.0,0.0
4.0,5,60.0,15,3.75,1,2.9690570535118286,0.4400145112215545,0.9030220812930511,4.733475520423602,1.9209850231326964,0.3084618946942569,0.0624217189570092,4.437608011392286,0.058589453213551905,0.3016996347900496,4.132658480107476,1.3748937349146328,7,60.0,airframe.alpha_stall,airframe,0.3490658503988659,1.5,0.5235987755982988,none,,37.61934396708479,6.746226450693943,7.432543221600474,0.0,0.49727371864776443,0.0,0.0
4.0,6,60.0,15,3.75,1,3.012635837507084,0.4532641480667075,0.9475900513202776,4.779410005238832,1.9115537088541243,0.33472572956173785,0.06515637336675334,4.691750986065357,0.052395321111337774,0.27704796351741906,3.9124599350885045,1.458897387071965,7,60.0,airframe.alpha_stall,airframe,0.3490658503988659,1.5,0.5235987755982988,none,,37.82806926311115,7.922206760576648,7.402472936373074,0.0,0.49872773536895676,0.0,0.0
4.0,7,60.0,15,3.75,0,3.074218844287305,0.45734240903301593,1.0113289917941093,4.85870942367577,1.9361062213179905,0.3622850373016244,0.06848455963844179,4.896075500837238,0.06162758615293021,0.29283370085949106,3.9832447075623763,1.4330655136385633,7,60.0,airframe.alpha_stall,airframe,0.3490658503988659,1.5,0.5235987755982988,none,,37.71188440087782,7.9922072317602435,7.188206314947435,0.0,0.4980007270083606,0.0,0.0
4.0,0,60.0,15,3.75,1,3.003030471916994,0.44724531777805104,0.9377527983952013,4.7715732083588644,1.89781333251802,0.3285095359842277,0.065,4.7,0.06,0.3,4.0,1.4288992721907328,7,60.0,airframe.alpha_stall,airframe,0.3490658503988659,2.0,0.6981317007977318,none,,37.756045282949586,7.459686324208066,7.333104268904036,0.0,0.49909123954925483,0.0,0.0
4.0,1,60.0,15,3.75,0,3.0752604234797607,0.45875196026388965,1.0072976409931163,4.851147922688486,1.9037711180584844,0.32891942099338606,0.06577673839752203,4.525026078250777,0.057254305433758694,0.29719603583055065,3.87867441408616,1.431125676117762,7,60.0,airframe.alpha_stall,airframe,0.3490658503988659,2.0,0.6981317007977318,none,,38.03334336624213,8.195192426931696,7.283489688255298,0.0,0.4976372228280625,0.0,0.0
4.0,2,60.0,15,3.75,1,2.9326226041122423,0.44790287198398976,0.8831775180743495,4.702321838342901,1.920897848015124,0.3371460632891801,0.06428724157605824,4.838135458152227,0.04859266356119493,0.2622486043376923,4.159134793507912,1.386136756807275,7,60.0,airframe.alpha_stall,airframe,0.3490658503988659,2.0,0.6981317007977318,none,,37.587776326001375,6.80818636889675,7.4919946823742665,0.0,0.49872773536895676,0.0,0.0
